,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
1256,sdg,Eastern and South-Eastern Asia,total,Sanitation,2015,58.544259999999994,1328814311.45768,Safely managed service
1259,sdg,Eastern and South-Eastern Asia,total,Sanitation,2015,9.49741,215568430.91833,Unimproved
1275,sdg,Eastern and South-Eastern Asia,total,Sanitation,2017,20.53332,471639012.96245,Basic service
1278,sdg,Eastern and South-Eastern Asia,total,Sanitation,2017,6.3438,145713509.20413,Limited service
1281,sdg,Eastern and South-Eastern Asia,total,Sanitation,2017,2.1758599999999997,49978255.925629996,Open defecation
1284,sdg,Eastern and South-Eastern Asia,total,Sanitation,2017,63.61769,1461263083.34414,Safely managed service
1287,sdg,Eastern and South-Eastern Asia,total,Sanitation,2017,7.329330000000001,168350676.56365,Unimproved
1304,sdg,Europe and Northern America,total,Sanitation,2000,26.1515,271987616.98547,Basic service
1306,sdg,Europe and Northern America,total,Sanitation,2000,0.82981,8630404.00635,Limited service
1309,sdg,Europe and Northern America,total,Sanitation,2000,0.03549,369156.72167,Open defecation
1312,sdg,Europe and Northern America,total,Sanitation,2000,69.40073000000001,721799514.46893,Safely managed service
1314,sdg,Europe and Northern America,total,Sanitation,2000,3.58247,37259286.81654,Unimproved
1332,sdg,Europe and Northern America,total,Sanitation,2001,26.15479,272888306.91516,Basic service
1334,sdg,Europe and Northern America,total,Sanitation,2001,0.7983100000000001,8329223.496510001,Limited service
1337,sdg,Europe and Northern America,total,Sanitation,2001,0.03413,356131.58671,Open defecation
1340,sdg,Europe and Northern America,total,Sanitation,2001,69.3378,723442024.0410099,Safely managed service
1342,sdg,Europe and Northern America,total,Sanitation,2001,3.6749699999999996,38343102.960609995,Unimproved
1359,sdg,Europe and Northern America,total,Sanitation,2002,26.646209999999996,278908416.12817,Basic service
1362,sdg,Europe and Northern America,total,Sanitation,2002,0.79556,8327236.79979,Limited service
1365,sdg,Europe and Northern America,total,Sanitation,2002,0.033,345464.70549,Open defecation
1368,sdg,Europe and Northern America,total,Sanitation,2002,68.9737,721954195.4034799,Safely managed service
1371,sdg,Europe and Northern America,total,Sanitation,2002,3.5515199999999996,37174075.26507,Unimproved
1388,sdg,Europe and Northern America,total,Sanitation,2003,26.405690000000003,277307267.59879,Basic service
1391,sdg,Europe and Northern America,total,Sanitation,2003,0.79313,8329324.6802,Limited service
1394,sdg,Europe and Northern America,total,Sanitation,2003,0.031869999999999996,334666.30662,Open defecation
1397,sdg,Europe and Northern America,total,Sanitation,2003,69.34218,728217576.93058,Safely managed service
1400,sdg,Europe and Northern America,total,Sanitation,2003,3.4271300000000005,35991048.48781,Unimproved
1417,sdg,Europe and Northern America,total,Sanitation,2004,26.11351,275202293.03949,Basic service
1420,sdg,Europe and Northern America,total,Sanitation,2004,0.7854899999999999,8278004.751289999,Limited service
1423,sdg,Europe and Northern America,total,Sanitation,2004,0.03071,323632.72972,Open defecation
1426,sdg,Europe and Northern America,total,Sanitation,2004,69.7657,735239360.89712,Safely managed service
1429,sdg,Europe and Northern America,total,Sanitation,2004,3.3046,34826139.18638,Unimproved
